species_group,model_name,fmp,biomass,M,species_fmp_ABC,species_fmp_OFL,total_biomass,prop_biomass
non-SST,Model 20,AI,1283.2640472087605,0.09,86.62032318659134,115.49376424878844,1635.222495278295,0.7847641840264463
non-SST,Model 20,EBS,351.9584480695345,0.09,23.75719524469358,31.676260326258102,1635.222495278295,0.21523581597355376
non-SST,Model 22,AI,1283.2640472087605,0.09,86.62032318659134,115.49376424878844,1635.222495278295,0.7847641840264463
non-SST,Model 22,EBS,351.9584480695345,0.09,23.75719524469358,31.676260326258102,1635.222495278295,0.21523581597355376
SST,Model 20,AI,13271.708279051914,0.03,298.6134362786681,398.1512483715574,49271.16610545453,0.2693605475187379
SST,Model 20,EBS,35999.45782640262,0.03,809.9878010940589,1079.9837347920786,49271.16610545453,0.7306394524812622
SST,Model 22,AI,13064.511766400568,0.03,293.9515147440128,391.93535299201704,51098.26584137832,0.2556742690046674
SST,Model 22,EBS,38033.754074977754,0.03,855.7594666869994,1141.0126222493325,51098.26584137832,0.7443257309953326
