model_name,year,biomass,OFL,maxABC,biomass_percent_change,OFL_maxABC_percent_change
Model 20,2023,50906.388600732826,1625.3050077386824,1218.9787558040118,0,0
Model 22,2023,52733.48833665663,1680.1179998163966,1260.0884998622973,3.589136425005605,3.3724742012563245
