species_group,model_name,parameter,estimate,std_err,lci,uci
non-SST,Model 20,process_error,0.6675903826902692,0.12788205043081805,0.4586230700757432,0.9717716969339003
non-SST,Model 22,process_error,0.6675903826902692,0.12788205043081805,0.4586230700757432,0.9717716969339003
SST,Model 20,process_error,0.117278702796044,0.0268404281508158,0.0748881311176702,0.18366453968401172
SST,Model 22,process_error,0.16695425395636382,0.03273756399074037,0.11368100537581251,0.24519243845512828
SST,Model 22,scaling_parameter_q,0.7034598278943225,0.06310014660696144,0.5900472151730801,0.8386714092294333
