species_group,model_name,year,biomass,M,OFL,maxABC
SST,Model 20,2023,49271.16610545453,0.03,1478.134983163636,1108.601237372727
non-SST,Model 20,2023,1635.2224952782954,0.09,147.17002457504657,110.37751843128494
SST,Model 22,2023,51098.265841378336,0.03,1532.94797524135,1149.7109814310124
non-SST,Model 22,2023,1635.2224952782954,0.09,147.17002457504657,110.37751843128494
