year,fmp_subarea,prop_sst
2003,AI,0.7299323684987991
2003,EBS,0.9133011861451679
2004,AI,0.6195245605776277
2004,EBS,0.9269236829799843
2005,AI,0.6898266102181908
2005,EBS,0.8664556095509665
2006,AI,0.7492348709338703
2006,EBS,0.954293269616654
2007,AI,0.8826422897053379
2007,EBS,0.9699038445708419
2008,AI,0.9324953502058252
2008,EBS,0.9608314928254268
2009,AI,0.9240351656896477
2009,EBS,0.9941714135208413
2010,AI,0.9121814640411912
2010,EBS,0.9622220677448724
2011,AI,0.9344112550540474
2011,EBS,0.9934348365833381
2012,AI,0.9843811484961704
2012,EBS,0.9365464499812519
2013,AI,0.9799181419484913
2013,EBS,0.9796316963824591
2014,AI,0.9585864347437959
2014,EBS,0.9864957397678064
2015,AI,0.981134293521278
2015,EBS,0.9778464123873667
2016,AI,0.9997303004581326
2016,EBS,0.9570762704873679
2017,AI,0.9924569006409404
2017,EBS,0.9948670421611103
2018,AI,0.9859853963839567
2018,EBS,0.9955356890747137
2019,AI,0.9999623072099455
2019,EBS,0.9968040653686014
2020,AI,0.9992602701303792
2020,EBS,0.9984507614942577
2021,AI,0.9639869663863273
2021,EBS,0.9997780997511323
2022,AI,0.9995226956913646
2022,EBS,0.9798785423316652
