# Single survey RE for non-SST AI 
 # Model start and end years 
 1982 2020 
 # nobs 
 39 
 # Years 
 1982 1983 1984 1985 1986 1987 1988 1989 1990 1991 1992 1993 1994 1995 1996 1997 1998 1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 
 # Biomass estimates 
 -9 -9 -9 -9 -9 -9 -9 -9 -9 493.6 -9 -9 212.6 -9 -9 643.4 -9 -9 1275.6 -9 553.8 -9 1231.2 -9 6003.3 -9 -9 -9 588.3 -9 250.2 -9 5643.1 -9 1764.7 -9 914.4 -9 -9 
 # Biomass CV 
 -9 -9 -9 -9 -9 -9 -9 -9 -9 0.37762576653631 -9 -9 0.608136210784779 -9 -9 0.679070797861866 -9 -9 0.332793424684621 -9 0.307721591298834 -9 0.413510994276725 -9 0.879178912624096 -9 -9 -9 0.323210074883903 -9 0.302917631814179 -9 0.814941734826478 -9 0.330891200568521 -9 0.322435500664054 -9 -9 
