model_name,year,biomass,OFL,maxABC,biomass_percent_change,OFL_maxABC_percent_change
Model 20,2020,53248,1750.6568999999997,1312.992675,0,0
Model 20.a,2020,53363.561375260244,1757.8829936259806,1318.4122452194854,0.21702481832227305,0.4127646956968477
Model 22,2020,55793.1185777315,1830.769709700118,1373.0772822750887,4.779744925126759,4.5761570813857535
