species_group,model_name,parameter,estimate,std_err,lci,uci
non-SST,Model 20,process error,0.701397854614309,0.1295201278330783,0.4884066361119132,1.007273272070833
non-SST,Model 20.a,process_error,0.7384245943489173,0.1258386770492491,0.5287478137717515,1.031249429949878
non-SST,Model 22,process_error,0.7384245943489173,0.1258386770492491,0.5287478137717515,1.031249429949878
SST,Model 20,process error,0.12129860057387025,0.028687119035720313,0.07630388059063202,0.19282571721503908
SST,Model 20.a,process_error,0.1280292501092124,0.02744929106260738,0.0841032519625382,0.19489720671952687
SST,Model 22,process_error,0.17561750602917178,0.03328256894811321,0.1211296109504319,0.25461576390703516
SST,Model 22,scaling_parameter_q,0.7047089173968688,0.0643991116507109,0.589146870391998,0.8429386341783275
