Species,Variable,Value
SST,M,0.03
SST,Biomass,50693.5
SST,F_OFL,0.03
SST,maxF_ABC,0.0225
SST,F_ABC,0.0225
SST,OFL,1520.8049999999998
SST,maxABC,1140.60375
SST,ABC,1140.60375
SST,AI ABC,328.698
SST,EBS ABC,811.9055249999999
non-SST,M,0.09
non-SST,Biomass,2553.91
non-SST,F_OFL,0.09
non-SST,maxF_ABC,0.0675
non-SST,F_ABC,0.0675
non-SST,OFL,229.85189999999997
non-SST,maxABC,172.388925
non-SST,ABC,172.388925
non-SST,AI ABC,65.29167000000001
non-SST,EBS ABC,107.09752500000002
All Other Rockfish,M,NA
All Other Rockfish,Biomass,53247.41
All Other Rockfish,F_OFL,NA
All Other Rockfish,maxF_ABC,NA
All Other Rockfish,F_ABC,NA
All Other Rockfish,OFL,1750.6568999999997
All Other Rockfish,maxABC,1312.992675
All Other Rockfish,ABC,1312.992675
All Other Rockfish,AI ABC,393.98967
All Other Rockfish,EBS ABC,919.0030499999999
